[ 04-26 19:37:02.761 INFO  ] RAM: 13.78 MB
[ 04-26 19:37:02.763 INFO  ] Graphics Mode: true
[ 04-26 19:37:02.763 INFO  ] Standalone: true
[ 04-26 19:37:02.764 INFO  ] Updating Directory:   D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Working Directory:    D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Executable Directory: D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0afb673eaf45a5168692effcd9166a6e6611a350
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0b/0b0d9e03b93a8c5823eb4f925114aef0cb9ac6b2
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0b/0b193a63393d447054165c3f9c19dbc288b0d5f1
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0b/0b29f5ce8c4c10fa4184e5d29244f3bc121468a0
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0b/0b3494602d760cc94c06c501c7651102f6e8eb7c
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0b/0b521d8200bfda7bb11c8fb6d6a03d52f6b740e7
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0b/0ba37fea9597cd0ea0e42de4b35f52792f4bc630
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0b/0ba4a7830ea8852bf7844872d7e2d2a408fb77e4
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0b/0bad55ad72a681b474cfb2040a35e7420eecfa81
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0b/0be8e30be934324679d7a71566c7ff7f1952d772
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0b/0bf3b2160812be3f49071ddab02da98d1fc7fd7f
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0c/0c020c5e6a49609c4585654e92b3cfed07558507
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0c/0c2a17a9583d397a5dedf97bf7af60802246088f
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0c/0c42b94014a3b58e1ae24defb6beaeb84011f9b8
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0c/0c548af9a197ecb01293fea959b3aeba5facf56c
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0c/0c6bb010b1b50f592881a1f858d5db5f0a181f22
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0c/0c6cb9f73193e345654d12d929d040e72552dd74
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0c/0c7bc9616e7cb18b994e01642be868b5e05fd8a3
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0c/0c918eebe2806c47fb406527dffdb54939490324
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0c/0cb4d27eb86fa2cb33047c3117c82f57ecaa7809
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0c/0cb553eb257614ee1a58e57f8d1c292e9cd393c2
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0c/0cc576cae7a4c2e2bb969f545ba09a1d4f746e4f
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0c/0cd209ea16b052a2f445a275380046615d20775e
[ 04-26 19:51:34.872 DEBUG ] [4.0] old files: .minecraft/assets/objects/0d/0d1862217e8aa9f56768053fa2dabb7956ba9b3a
[ 04-26 19:51:34.873 DEBUG ] [4.0] old files: .minecraft/assets/objects/0d/0d1f43515acec95900f8f63e24181357b1a3913f
[ 04-26 19:51:34.873 DEBUG ] [4.0] old files: .minecraft/assets/objects/0d/0d49fd8c436e66eb5af3a1c0244d20606e4f7716
[ 04-26 19:51:34.873 DEBUG ] [4.0] old files: .minecraft/assets/objects/0d/0d74b25e7a67f8250dc581b99ce154e31892f2bd
[ 04-26 19:51:34.873 DEBUG ] [4.0] old files: .minecraft/assets/objects/0d/0d79b43129dc37508ccc97069839667817b406cf
[ 04-26 19:51:34.873 DEBUG ] [4.0] old files: .minecraft/assets/objects/0d/0dab9e4ab34ca58385efc54920668b02bcfa9d51
